generic_id,created_at,complaint_status_id,voteup_count,city_id,ward_id,category_id,sub_category_id,civic_agency_id,title,description,location
W01730C147452,"We are facing multiple issues related to road safety some of them include the \nRoad being dug out but never repaired making it extremely dangerous for pedestrain and kids as vehicle move close by.\n\nThere always a cry for not enough space becuase of illegal parking  on road side.\n\nPlus there is a constant movement of heavy vehicle in area even though they are prohibited.\n\nI hope the issue get addresss soon.",4,28,2,946,15,66,22,"8/5/16 9:45","Potholes, Illegal Parking and Movement of Heavy Vehicle","NSS Palkar Road, Asalfa Village, Ghatkopar West, Mumbai, Maharashtra 400084, India"
W0960C153580,"This is a really bad road. we need it cleaned as some people are now using it as dumping area.",4,2,2,943,6,155,22,"5/6/16 17:11","Bad road now with garbage","21st Rd, MIDC Industrial Estate, Pandit Dindayala Upadhaya Nagar, Andheri East, Mumbai, Maharashtra 400069, India"
W01760C153649,"This needs to be fixed asap.",2,40,2,946,21,84,25,"5/6/16 21:16","Traffic issue that needs immediate attention","5, JVLR, IIT Area, Powai, Mumbai, Maharashtra 400076, India"
W01590C157072,"We observed frequently heavy traffic at dahisar check naka. Most of the time the reason for that is  \""  Traffic signal are off which is done by traffic police for unknown reason \"". I request concerned  authority to look into this matter .",2,7,2,933,21,84,25,"16-06-2016 19:42","Traffic jam at Dahisar check naka","Western Express Hwy, Diamond Industrial Estate, Dahisar East, Mumbai, Maharashtra 400068, India"
W02080C164464,"A pothole in front of Chand Shahwli Baba Dargah on Pipeline Road near IIT Boundary is causing daily traffic snarls. It is a nuisance for the Students living in nearby hostels. please look into the matter at the earliest.",3,19079,2,945,15,66,22,"13-07-2016 12:57","Pothole on Pipeline Road","Pipe Line Rd, Powai, IIT Area, Powai, Mumbai, Maharashtra 400087, India"
W02080C164827,"Garbage has been piling up near the Boat house near Powai lake for quite some time now. The condition has gone bad to worse in the last few months. Please look into the matter.",4,133,2,945,6,155,22,"14-07-2016 15:24","Garbage pile near Powai lake","IIT Bombay, Boat House Rd, IIT Area, Powai, Mumbai, Maharashtra 400076, India"
W01230C165070,"This is on the road while coming towards royal palms in aarey colony",3,3,2,937,15,66,22,"15-07-2016 13:08","Lot of potholes which makes it difficult to commute","Royal Palms, Aarey Colony, Goregaon, Mumbai, Maharashtra 400065, India"
W01280C165161,"Potholes uneven road in front of Riddhi Gardens complex. Lot of water gets accumulated there. It. Has become impossible to walk. Each and every vehicle passing by splash water while on the road.",3,7,2,936,15,66,22,"15-07-2016 18:00","Potholes n uneven road in front of riddhi gardens","Film City Rd, Goregaon, Mumbai, Maharashtra, India"
W0900C165185,"Killer pitholes throughout from marol to saki naka.. Andheri-kurla road at its worst causing heavy inconvenience to motorists",3,0,2,943,15,66,22,"15-07-2016 19:47","Dangerous potholes","Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400047, India"
W02020C165199,"From ghatkopar west station to jagdusha nagar the road is very bad and lot of pot holes and very few streetlights.  There is always a traffic jam during peak houes",2,41,2,947,15,67,22,"15-07-2016 23:25","Bad roads, few streetlights and pot holes","D.G.Q.A. Colony, Ghatkopar West, Mumbai, Maharashtra 400086, India"
W01450C165415,"Lots off potholes on service road of magatgane telephone exchange exchange  near 90 feet road of thakor complex kan divali east",2,4,2,935,15,66,22,"16-07-2016 22:26",Potholes,"Kanakia Sanskruti I, 90 Feet Rd, Asha Nagar, Kandivali East, Mumbai, Maharashtra 400101, India"
W01450C165441,"Lots off potholes on service road of magatgane telephone exchange exchange  near 90 feet road of thakor complex kan divali east",3,1,2,935,15,66,22,"16-07-2016 23:25",Potholes,"Kanakia Sanskruti I, 90 Feet Rd, Asha Nagar, Kandivali East, Mumbai, Maharashtra 400101, India"
W01750C165448,"In my slum area the garbage collection system is not proper and the those garbage is the reason for water logging in the roads.",3,4,2,946,6,155,22,"17-07-2016 00:28","Garbage collection","Andheri - Ghatkopar Rd, Bandi Bazaar, Nair Wadi, Sakinaka, Mumbai, Maharashtra 400072, India"
W01750C165451,"Would request the authorities to provide more garbage bins since everyone is throughing all the garbage on the road and it is cleaned only at night. So the garbage is on the road is for the entire road. And during monsoons it\'s just on the right and spread across",3,5,2,946,6,155,22,"17-07-2016 01:19","Garbage bins","Andheri - Ghatkopar Rd, Bandi Bazaar, Nair Wadi, Sakinaka, Mumbai, Maharashtra 400072, India"
W01780C165455,"Road is narrow and huge truck ,bus ,car,auto and two wheelers pass from that road but due to bad condition of road vhecles are moving slow which create trafic  \n        So kondly please look into this and help us by rebuilding road with he help proper engineer",3,0,2,949,15,67,22,"17-07-2016 07:16","Huge traffic due to bad road","9-A/B, Ramakrishna Chemburkar Marg, Navajeevan Society, Chembur, Mumbai, Maharashtra 400071, India"
